job_id,job_title,level,company,location,skill_required,skill_category,primary_skill,num_skills,min_salary,max_salary,avg_salary,experience_years,experience_level,industry,company_size,education_required,remote_policy,is_remote_friendly,demand_score,posted_days_ago,applicants_count,benefits,salary_per_year,salary_range
98,Marketing Analyst,Mid,Company_Cloud73,Atlanta,"Leadership, Airflow, QlikView, Docker, Spark",Soft Skills,Leadership,5,59611,80651,70131.0,7,Mid,Transportation,Enterprise (1000+),Bachelor's,Hybrid,1,61,2,53,"Learning Stipend, Unlimited PTO, Free Lunch",70131,21040
99,Data Architect,Senior,Company_Analytics50,Atlanta,"Project Management, Azure, Tableau, Looker, Julia, Leadership",Soft Skills,Project Management,6,89479,121060,105269.5,7,Senior,Insurance,Enterprise (1000+),Master's,On-site,0,89,11,126,"Stock Options, Unlimited PTO, Remote Work, Parental Leave",105270,31581
100,Data Analyst,Mid,Company_Data37,Seattle,"Storytelling, Power BI, Project Management",Soft Skills,Storytelling,3,60180,81420,70800.0,6,Mid,Retail,Small (11-50),High School + Certification,Flexible,1,81,17,118,"Stock Options, Unlimited PTO",70800,21240
101,Data Architect,Senior,Company_Tech95,Miami,"Airflow, Julia, Excel, Data Visualization, Redis, Elasticsearch",Big Data,Airflow,6,82824,112056,97440.0,4,Senior,Retail,Enterprise (1000+),Associate,Remote,1,84,19,26,"Parental Leave, Health Insurance, Learning Stipend",97440,29232
102,ML Engineer,Senior,Company_Cloud49,Washington DC,"Agile, Storytelling, Computer Vision, Leadership",Soft Skills,Agile,4,126377,170981,148679.0,6,Senior,Insurance,Medium (51-200),PhD,Flexible,1,74,11,122,"Unlimited PTO, Learning Stipend",148679,44604
103,Data Architect,Mid,Company_Data25,Nashville,"Scikit-learn, Terraform, Probability, Keras, Azure",ML/AI,Scikit-learn,5,117802,159379,138590.5,6,Mid,Real Estate,Small (11-50),Master's,On-site,0,88,2,188,"Learning Stipend, Remote Work, Free Lunch, Gym Membership",138591,41577
104,Marketing Analyst,Senior,Company_Data28,Seattle,"Storytelling, PyTorch, Scala, Excel",Soft Skills,Storytelling,4,70499,95381,82940.0,2,Senior,Finance,Enterprise (1000+),PhD,Remote,1,89,24,45,"Gym Membership, Unlimited PTO",82940,24882
105,AI Research Scientist,Senior,Company_AI46,San Diego,"Jenkins, Airflow, Kubernetes, RAG",Cloud,Jenkins,4,122138,165245,143691.5,3,Senior,Technology,Startup,Master's,Flexible,1,68,27,6,"401k, Stock Options, Remote Work",143691,43107
106,Operations Analyst,Senior,Company_Analytics74,Minneapolis,"MongoDB, Scikit-learn, LangChain",Databases,MongoDB,3,67881,91839,79860.0,7,Senior,Insurance,Startup,Master's,Flexible,1,91,16,107,"Parental Leave, Gym Membership, Unlimited PTO",79860,23958
107,Analytics Manager,Lead,Company_Cloud14,San Francisco,"Scikit-learn, Docker, R, Power BI, Beam",ML/AI,Scikit-learn,5,89505,121094,105299.5,10,Lead,Consulting,Enterprise (1000+),Associate,Hybrid,1,88,7,20,"Gym Membership, Remote Work, Health Insurance",105300,31589
108,Healthcare Data Analyst,Senior,Company_Data48,St. Louis,"Metabase, LLM, Azure, Storytelling, Computer Vision, QlikView",BI Tools,Metabase,6,61149,82731,71940.0,3,Senior,Healthcare,Small (11-50),Bachelor's,On-site,0,67,29,110,"Learning Stipend, Gym Membership, Unlimited PTO",71940,21582
109,Analytics Manager,Principal,Company_Data45,Boston,"PyTorch, Project Management, Communication, Storytelling",ML/AI,PyTorch,4,119354,161480,140417.0,9,Principal,Energy,Medium (51-200),Bachelor's,Hybrid,1,97,7,165,"Gym Membership, Parental Leave, 401k, Stock Options",140417,42126
110,Computer Vision Engineer,Mid,Company_Digital34,Raleigh,"NLP, Tableau, Python, Hadoop",ML/AI,NLP,4,100011,135309,117660.0,2,Mid,Finance,Startup,PhD,Remote,1,83,18,121,"Learning Stipend, Unlimited PTO",117660,35298
111,Data Product Manager,Senior,Company_AI69,Seattle,"Keras, PostgreSQL, Jenkins",ML/AI,Keras,3,123450,167021,145235.5,11,Senior,Healthcare,Startup,PhD,Hybrid,1,92,2,30,"Health Insurance, Stock Options, Learning Stipend",145236,43571
112,Analytics Manager,Principal,Company_Cloud39,Austin,"Computer Vision, TensorFlow, Scikit-learn, Deep Learning",ML/AI,Computer Vision,4,136171,184232,160201.5,8,Principal,Retail,Medium (51-200),Associate,Hybrid,1,100,24,28,"Gym Membership, Learning Stipend",160201,48061
113,Healthcare Data Analyst,Senior,Company_Tech24,St. Louis,"MySQL, Python, AWS, Excel, SQL, Kubernetes",Databases,MySQL,6,65412,88499,76955.5,2,Senior,Education,Startup,High School + Certification,Remote,1,80,1,35,"401k, Health Insurance",76956,23087
114,Financial Analyst,Senior,Company_Analytics51,Nashville,"Redis, Metabase, Azure",Databases,Redis,3,61149,82731,71940.0,3,Senior,Media,Small (11-50),High School + Certification,On-site,0,85,7,59,"Learning Stipend, Tuition Reimbursement, Gym Membership",71940,21582
115,Marketing Analyst,Mid,Company_Tech2,St. Louis,"Metabase, Communication, Beam",BI Tools,Metabase,3,62169,84111,73140.0,2,Mid,Technology,Medium (51-200),High School + Certification,Flexible,1,70,1,67,"Stock Options, Gym Membership, 401k",73140,21942
116,AI Research Scientist,Mid,Company_Tech41,Portland,"C++, LLM, Communication",Programming,C++,3,107270,145131,126200.5,6,Mid,Real Estate,Startup,Bachelor's,Flexible,1,87,3,143,"Free Lunch, Stock Options, Tuition Reimbursement, Parental Leave",126200,37861
117,Computer Vision Engineer,Senior,Company_Cloud56,Philadelphia,"Project Management, Hive, Excel, RAG, LangChain, GCP",Soft Skills,Project Management,6,86801,117437,102119.0,5,Senior,Government,Large (201-1000),PhD,Remote,1,83,13,101,"Gym Membership, Stock Options, Unlimited PTO, Parental Leave",102119,30636
118,Data Governance Analyst,Mid,Company_AI32,Austin,"Computer Vision, Looker, Agile, Keras, Metabase, R",ML/AI,Computer Vision,6,61149,82731,71940.0,3,Mid,Media,Enterprise (1000+),Bachelor's,Hybrid,1,78,26,174,"Parental Leave, Tuition Reimbursement, 401k",71940,21582
119,Data Warehouse Engineer,Mid,Company_AI62,Raleigh,"Keras, NLP, RAG, Storytelling, Power BI",ML/AI,Keras,5,59466,80454,69960.0,2,Mid,Consulting,Startup,High School + Certification,Hybrid,1,92,13,195,"Unlimited PTO, Parental Leave",69960,20988
120,Computer Vision Engineer,Mid,Company_Digital57,New York,"Hive, Jenkins, Tableau, Elasticsearch",Big Data,Hive,4,89066,120501,104783.5,6,Mid,Healthcare,Large (201-1000),Associate,Flexible,1,69,3,81,"Unlimited PTO, Parental Leave, Remote Work, 401k",104784,31435
121,Data Scientist,Senior,Company_Digital89,Los Angeles,"Scikit-learn, RAG, Deep Learning, Python, Keras, LLM",ML/AI,Scikit-learn,6,98060,132670,115365.0,3,Senior,Entertainment,Large (201-1000),High School + Certification,Hybrid,1,90,1,37,"Tuition Reimbursement, Remote Work",115365,34610
122,Computer Vision Engineer,Senior,Company_Tech8,Portland,"LLM, Metabase, RAG",ML/AI,LLM,3,82273,111310,96791.5,3,Senior,Manufacturing,Small (11-50),Master's,Remote,1,73,30,180,"Learning Stipend, Health Insurance, Free Lunch, Stock Options",96792,29037
123,Healthcare Data Analyst,Mid,Company_Digital53,Denver,"GCP, MySQL, Storytelling, Leadership, Communication",Cloud,GCP,5,91639,123982,107810.5,7,Mid,Government,Enterprise (1000+),Associate,Remote,1,100,18,44,"Stock Options, Learning Stipend, 401k, Tuition Reimbursement",107811,32343
124,Data Scientist,Mid,Company_Cloud44,Pittsburgh,"MongoDB, LangChain, LLM",Databases,MongoDB,3,79968,108192,94080.0,4,Mid,Entertainment,Startup,Master's,Hybrid,1,91,17,103,"Health Insurance, Unlimited PTO, Learning Stipend",94080,28224
125,Marketing Analyst,Mid,Company_Analytics36,Boston,"Terraform, Computer Vision, GCP, Hadoop, Linear Algebra",Cloud,Terraform,5,66485,89951,78218.0,3,Mid,Media,Enterprise (1000+),Master's,Hybrid,1,89,13,185,"Parental Leave, Health Insurance, Learning Stipend",78218,23466
126,AI Research Scientist,Senior,Company_Analytics33,Los Angeles,"PostgreSQL, Beam, Agile, Hive, Deep Learning",Databases,PostgreSQL,5,114377,154745,134561.0,2,Senior,Consulting,Small (11-50),Associate,Hybrid,1,100,2,79,"Stock Options, 401k, Unlimited PTO",134561,40368
127,Business Intelligence Analyst,Mid,Company_Data56,San Diego,"Scikit-learn, LLM, PostgreSQL, Hive, R, Airflow",ML/AI,Scikit-learn,6,91639,123982,107810.5,7,Mid,Retail,Small (11-50),Bachelor's,On-site,0,75,20,20,"Unlimited PTO, Tuition Reimbursement, Remote Work, Stock Options",107811,32343
128,Analytics Manager,Lead,Company_Digital13,Salt Lake City,"Looker, Kafka, Redis, Deep Learning, Docker, Java",BI Tools,Looker,6,103920,140598,122259.0,5,Lead,Entertainment,Small (11-50),PhD,Remote,1,86,1,86,"Gym Membership, Stock Options, Tuition Reimbursement",122259,36678
129,Marketing Analyst,Senior,Company_Data8,Salt Lake City,"PyTorch, Scikit-learn, LLM, Hive, SQL",ML/AI,PyTorch,5,53699,72652,63175.5,3,Senior,Telecommunications,Medium (51-200),Associate,Flexible,1,76,14,101,"Health Insurance, Learning Stipend, Gym Membership",63176,18953
130,Analytics Manager,Principal,Company_Analytics45,Raleigh,"Looker, Communication, Docker, Flink, Agile, C++",BI Tools,Looker,6,111881,151368,131624.5,10,Principal,Manufacturing,Large (201-1000),Master's,Hybrid,1,71,22,117,"Learning Stipend, Remote Work",131625,39487
131,Healthcare Data Analyst,Senior,Company_Analytics94,Phoenix,"Agile, MongoDB, Metabase",Soft Skills,Agile,3,61149,82731,71940.0,3,Senior,Healthcare,Startup,Associate,Remote,1,71,13,48,"Stock Options, Gym Membership, Learning Stipend",71940,21582
132,Database Administrator,Senior,Company_AI81,Denver,"Data Visualization, LangChain, Spark, Linear Algebra, Deep Learning, QlikView",Data Analysis,Data Visualization,6,89849,121561,105705.0,4,Senior,Entertainment,Enterprise (1000+),Bachelor's,Hybrid,1,97,8,83,"Learning Stipend, Free Lunch, Stock Options",105705,31712
133,Financial Analyst,Mid,Company_Digital50,Boston,"Jenkins, TensorFlow, JavaScript, Deep Learning",Cloud,Jenkins,4,72570,98184,85377.0,4,Mid,Technology,Enterprise (1000+),High School + Certification,Flexible,1,84,9,39,"Remote Work, Health Insurance",85377,25614
134,Business Analyst,Senior,Company_Cloud3,St. Louis,"MySQL, Linear Algebra, GCP, Statistics",Databases,MySQL,4,51357,69483,60420.0,2,Senior,Manufacturing,Startup,Master's,On-site,0,74,8,61,"Health Insurance, Free Lunch, Unlimited PTO, Learning Stipend",60420,18126
135,Business Intelligence Analyst,Mid,Company_Digital82,Seattle,"Cassandra, Metabase, Tableau, TensorFlow, Elasticsearch",Databases,Cassandra,5,94837,128308,111572.5,5,Mid,Consulting,Large (201-1000),Bachelor's,On-site,0,93,30,52,"Free Lunch, Health Insurance, 401k, Unlimited PTO",111572,33471
136,Operations Analyst,Mid,Company_Cloud5,Salt Lake City,"Statistics, AWS, Deep Learning, MySQL",Data Analysis,Statistics,4,95804,129618,112711.0,5,Mid,Education,Enterprise (1000+),PhD,On-site,0,78,25,133,"Remote Work, 401k, Free Lunch, Stock Options",112711,33814
137,NLP Engineer,Senior,Company_Data13,Pittsburgh,"Kubernetes, PyTorch, Beam, Statistics",Cloud,Kubernetes,4,97311,131656,114483.5,6,Senior,Education,Small (11-50),Bachelor's,On-site,0,69,8,141,"Health Insurance, Tuition Reimbursement",114483,34345
138,Data Engineer,Mid,Company_Analytics39,Boston,"Tableau, MongoDB, GCP, SQL, MySQL",BI Tools,Tableau,5,90333,122216,106274.5,3,Mid,Consulting,Large (201-1000),High School + Certification,Hybrid,1,74,6,104,"Stock Options, Learning Stipend",106275,31883
139,Healthcare Data Analyst,Senior,Company_Cloud19,Los Angeles,"Kafka, Computer Vision, Spark, AWS, Scala",Big Data,Kafka,5,70966,96013,83489.5,5,Senior,Retail,Small (11-50),PhD,Flexible,1,77,1,14,"Stock Options, Tuition Reimbursement, Free Lunch",83490,25047
140,Operations Analyst,Mid,Company_Digital89,Raleigh,"NLP, Looker, Redis, Cassandra",ML/AI,NLP,4,65412,88499,76955.5,2,Mid,Entertainment,Large (201-1000),Associate,Flexible,1,81,21,127,"Unlimited PTO, Remote Work, Gym Membership, Tuition Reimbursement",76956,23087
141,Supply Chain Analyst,Mid,Company_AI17,Miami,"Statistics, TensorFlow, Communication, Leadership",Data Analysis,Statistics,4,67740,91649,79694.5,5,Mid,Insurance,Medium (51-200),Associate,Hybrid,1,100,11,21,"Stock Options, Gym Membership",79695,23909
142,Database Administrator,Senior,Company_Digital91,Austin,"Metabase, R, Flink, NLP, MongoDB",BI Tools,Metabase,5,69115,93508,81311.5,4,Senior,Consulting,Medium (51-200),Bachelor's,Flexible,1,79,22,114,"Gym Membership, Parental Leave, Stock Options",81312,24393
143,Data Architect,Senior,Company_Data72,Chicago,"Agile, Azure, Cassandra",Soft Skills,Agile,3,125271,169484,147377.5,7,Senior,Real Estate,Large (201-1000),High School + Certification,Remote,1,99,13,11,"401k, Parental Leave",147377,44213
144,NLP Engineer,Mid,Company_Data91,Los Angeles,"QlikView, Computer Vision, C++",BI Tools,QlikView,3,86215,116644,101429.5,5,Mid,Transportation,Medium (51-200),High School + Certification,Flexible,1,63,7,109,"Remote Work, Health Insurance",101429,30429
145,Operations Analyst,Senior,Company_Analytics13,Pittsburgh,"Hive, Python, Scala, Airflow, Docker, Redis",Big Data,Hive,6,72817,98518,85667.5,6,Senior,Insurance,Medium (51-200),Master's,On-site,0,96,9,165,"Learning Stipend, Health Insurance, Unlimited PTO, 401k",85668,25701
146,Healthcare Data Analyst,Senior,Company_Digital31,St. Louis,"Beam, MongoDB, Linear Algebra, Leadership, TensorFlow, NLP",Big Data,Beam,6,77901,105396,91648.5,5,Senior,Entertainment,Enterprise (1000+),Associate,On-site,0,79,1,181,"Unlimited PTO, Gym Membership",91649,27495
147,Business Analyst,Senior,Company_AI45,Dallas,"SQL, Kubernetes, PyTorch, Spark, Agile, QlikView",Programming,SQL,6,59060,79905,69482.5,2,Senior,Transportation,Large (201-1000),High School + Certification,On-site,0,83,22,109,"401k, Tuition Reimbursement",69483,20845
148,Data Analyst,Mid,Company_AI40,San Francisco,"AWS, Leadership, Machine Learning, Scikit-learn, Julia, C++",Cloud,AWS,6,89367,120908,105137.5,6,Mid,Manufacturing,Startup,High School + Certification,Remote,1,100,9,191,"Parental Leave, Free Lunch, Unlimited PTO, Stock Options",105138,31541
149,ML Engineer,Senior,Company_Tech94,Detroit,"Spark, AWS, Elasticsearch",Big Data,Spark,3,99297,134343,116820.0,6,Senior,Telecommunications,Large (201-1000),Master's,On-site,0,100,4,27,"Free Lunch, Tuition Reimbursement, Health Insurance",116820,35046
150,Business Analyst,Mid,Company_Analytics71,Seattle,"Elasticsearch, AWS, Airflow",Databases,Elasticsearch,3,58116,78628,68372.0,4,Mid,Energy,Large (201-1000),Associate,Hybrid,1,95,23,93,"Health Insurance, Stock Options, Tuition Reimbursement",68372,20512
151,Business Analyst,Senior,Company_Analytics23,Philadelphia,"Flink, Statistics, LangChain",Big Data,Flink,3,58314,78895,68604.5,6,Senior,Consulting,Startup,Master's,On-site,0,88,3,181,"Remote Work, Tuition Reimbursement, Learning Stipend, 401k",68605,20581
152,Supply Chain Analyst,Mid,Company_Data81,Boston,"Terraform, Spark, Probability, Data Visualization, Power BI",Cloud,Terraform,5,70898,95920,83409.0,6,Mid,Healthcare,Small (11-50),High School + Certification,On-site,0,83,23,131,"Free Lunch, Health Insurance, Remote Work",83409,25022
153,Financial Analyst,Mid,Company_Data40,Seattle,"LLM, Python, Machine Learning, Storytelling, Elasticsearch, JavaScript",ML/AI,LLM,6,69507,94040,81773.5,6,Mid,Manufacturing,Startup,Bachelor's,Flexible,1,92,25,5,"401k, Tuition Reimbursement, Parental Leave",81774,24533
154,Operations Analyst,Mid,Company_Data15,Pittsburgh,"PyTorch, Leadership, Agile, RAG, Terraform, QlikView",ML/AI,PyTorch,6,78402,106074,92238.0,7,Mid,Transportation,Startup,Master's,Flexible,1,96,30,83,"Learning Stipend, Free Lunch",92238,27672
155,Data Engineer,Mid,Company_Digital38,Philadelphia,"Flink, Project Management, Statistics, C++, Azure",Big Data,Flink,5,74256,100464,87360.0,4,Mid,Insurance,Medium (51-200),Master's,Hybrid,1,88,10,103,"Gym Membership, 401k",87360,26208
156,Analytics Consultant,Mid,Company_Data17,Denver,"Agile, Jenkins, Kafka, Statistics",Soft Skills,Agile,4,84851,114798,99824.5,7,Mid,Real Estate,Medium (51-200),Master's,Hybrid,1,85,7,179,"Remote Work, Parental Leave, Unlimited PTO",99825,29947
157,Supply Chain Analyst,Mid,Company_Analytics56,Nashville,"Probability, NLP, Cassandra",Data Analysis,Probability,3,61149,82731,71940.0,3,Mid,Retail,Medium (51-200),Master's,Hybrid,1,87,1,177,"Learning Stipend, Remote Work, Gym Membership, Parental Leave",71940,21582
158,Data Governance Analyst,Senior,Company_Digital30,Chicago,"Statistics, SQL, Jenkins, Java",Data Analysis,Statistics,4,62832,85008,73920.0,4,Senior,Entertainment,Small (11-50),Bachelor's,Hybrid,1,90,21,118,"Unlimited PTO, 401k, Parental Leave, Remote Work",73920,22176
159,Financial Analyst,Mid,Company_Digital55,Salt Lake City,"Communication, Looker, Hadoop, C++",Soft Skills,Communication,4,64515,87285,75900.0,5,Mid,Insurance,Enterprise (1000+),Associate,Flexible,1,78,13,131,"Tuition Reimbursement, 401k",75900,22770
160,Business Intelligence Analyst,Senior,Company_Digital5,New York,"Project Management, Flink, Kafka, AWS",Soft Skills,Project Management,4,64206,86867,75536.5,3,Senior,Education,Small (11-50),Bachelor's,Hybrid,1,62,1,162,"Health Insurance, Parental Leave, Remote Work, Gym Membership",75537,22661
161,Business Intelligence Analyst,Mid,Company_AI8,Raleigh,"Elasticsearch, Julia, Jenkins",Databases,Elasticsearch,3,64206,86867,75536.5,3,Mid,Transportation,Startup,Master's,On-site,0,88,6,177,"Gym Membership, 401k",75537,22661
162,Data Warehouse Engineer,Senior,Company_Data63,Raleigh,"Kubernetes, Kafka, Statistics, Scala, R, Docker",Cloud,Kubernetes,6,72700,98359,85529.5,7,Senior,Technology,Small (11-50),Master's,Remote,1,81,3,142,"Learning Stipend, Free Lunch, Parental Leave",85530,25659
163,Operations Analyst,Senior,Company_Cloud72,Dallas,"Airflow, Linear Algebra, Jenkins",Big Data,Airflow,3,86057,116430,101243.5,6,Senior,Consulting,Large (201-1000),PhD,Remote,1,92,16,93,"Parental Leave, Learning Stipend, Tuition Reimbursement",101244,30373
164,AI Research Scientist,Mid,Company_AI74,San Francisco,"AWS, Beam, Flink, Spark",Cloud,AWS,4,102606,138821,120713.5,6,Mid,Technology,Small (11-50),Bachelor's,On-site,0,88,22,138,"Gym Membership, Remote Work, Free Lunch",120714,36215
165,Operations Analyst,Mid,Company_Data67,St. Louis,"QlikView, Storytelling, Project Management, Terraform, Docker, Julia",BI Tools,QlikView,6,64515,87285,75900.0,5,Mid,Media,Startup,High School + Certification,Flexible,1,92,11,197,"Tuition Reimbursement, Health Insurance, Free Lunch",75900,22770
166,ML Engineer,Mid,Company_AI41,Miami,"Airflow, TensorFlow, Kafka, R, LLM",Big Data,Airflow,5,91931,124378,108154.5,3,Mid,Retail,Enterprise (1000+),High School + Certification,Flexible,1,93,19,37,"Stock Options, Remote Work, Gym Membership",108155,32447
167,Analytics Consultant,Mid,Company_Cloud9,Atlanta,"Deep Learning, Jenkins, Project Management",ML/AI,Deep Learning,3,69507,94040,81773.5,6,Mid,Technology,Small (11-50),Associate,On-site,0,80,25,48,"Gym Membership, Unlimited PTO, Free Lunch",81774,24533
168,Financial Analyst,Senior,Company_Tech16,Minneapolis,"Cassandra, Python, Machine Learning, Keras",Databases,Cassandra,4,67416,91210,79313.0,3,Senior,Manufacturing,Medium (51-200),Master's,Remote,1,96,26,75,"Learning Stipend, Gym Membership",79313,23794
169,Analytics Consultant,Senior,Company_Tech27,Denver,"Power BI, Statistics, JavaScript, Project Management, Azure, Spark",BI Tools,Power BI,6,64206,86867,75536.5,3,Senior,Transportation,Enterprise (1000+),Bachelor's,Remote,1,84,24,45,"Gym Membership, Health Insurance, 401k, Free Lunch",75537,22661
170,Business Intelligence Analyst,Mid,Company_Analytics55,San Diego,"Flink, Storytelling, Computer Vision",Big Data,Flink,3,64206,86867,75536.5,3,Mid,Entertainment,Small (11-50),Bachelor's,Hybrid,1,82,27,76,"Parental Leave, Free Lunch",75537,22661
171,Data Scientist,Mid,Company_Digital41,Detroit,"SQL, Julia, Power BI, TensorFlow",Programming,SQL,4,79468,107515,93491.5,2,Mid,Technology,Medium (51-200),High School + Certification,Hybrid,1,96,21,64,"Unlimited PTO, Health Insurance",93492,28047
172,Analytics Consultant,Senior,Company_Cloud10,Atlanta,"Scala, MySQL, Python, Deep Learning, Julia",Programming,Scala,5,65973,89258,77615.5,4,Senior,Education,Large (201-1000),Bachelor's,Remote,1,90,29,167,"Tuition Reimbursement, Parental Leave, Health Insurance, Free Lunch",77616,23285
173,Database Administrator,Mid,Company_Cloud30,Chicago,"Kubernetes, Deep Learning, Power BI, MySQL",Cloud,Kubernetes,4,72817,98518,85667.5,6,Mid,Healthcare,Startup,Associate,Flexible,1,85,11,170,"401k, Free Lunch, Tuition Reimbursement",85668,25701
174,Data Architect,Senior,Company_Analytics98,Salt Lake City,"Cassandra, Scikit-learn, LangChain",Databases,Cassandra,3,100756,136318,118537.0,3,Senior,Government,Startup,Bachelor's,Remote,1,83,21,78,"Stock Options, Learning Stipend",118537,35562
175,Data Architect,Mid,Company_Analytics93,Salt Lake City,"Hadoop, TensorFlow, R, Metabase",Big Data,Hadoop,4,100009,135307,117658.0,4,Mid,Insurance,Startup,Master's,Remote,1,81,29,78,"Health Insurance, Unlimited PTO",117658,35298
176,Data Warehouse Engineer,Senior,Company_AI86,San Diego,"Agile, Hadoop, NLP, Jenkins, Cassandra",Soft Skills,Agile,5,61149,82731,71940.0,3,Senior,Real Estate,Small (11-50),Bachelor's,Hybrid,1,73,29,162,"Stock Options, Health Insurance, Remote Work",71940,21582
177,Analytics Manager,Manager,Company_Digital13,Raleigh,"Redis, Docker, QlikView, MySQL",Databases,Redis,4,102930,139259,121094.5,10,Manager,Entertainment,Startup,Associate,Flexible,1,76,25,76,"Stock Options, Free Lunch, Health Insurance",121095,36329
178,Data Governance Analyst,Mid,Company_Tech99,St. Louis,"MySQL, LangChain, Azure",Databases,MySQL,3,67881,91839,79860.0,7,Mid,Real Estate,Startup,Master's,Flexible,1,100,28,140,"401k, Free Lunch, Tuition Reimbursement, Parental Leave",79860,23958
179,Database Administrator,Mid,Company_Digital69,Detroit,"Deep Learning, Looker, Flink",ML/AI,Deep Learning,3,65973,89258,77615.5,4,Mid,Telecommunications,Small (11-50),Bachelor's,Remote,1,100,17,7,"Learning Stipend, Unlimited PTO",77616,23285
180,Healthcare Data Analyst,Senior,Company_AI71,Seattle,"JavaScript, Redis, Leadership",Programming,JavaScript,3,59466,80454,69960.0,2,Senior,Telecommunications,Large (201-1000),Bachelor's,Flexible,1,83,9,188,"Parental Leave, 401k, Tuition Reimbursement, Health Insurance",69960,20988
181,Financial Analyst,Mid,Company_Digital47,Philadelphia,"Metabase, Tableau, Power BI, Deep Learning, Excel",BI Tools,Metabase,5,71275,96430,83852.5,7,Mid,Insurance,Startup,PhD,Remote,1,100,24,172,"Parental Leave, Tuition Reimbursement",83853,25155
182,Database Administrator,Mid,Company_Analytics76,Raleigh,"Excel, Storytelling, Computer Vision, NLP, Terraform, Deep Learning",Data Analysis,Excel,6,95661,129424,112542.5,4,Mid,Telecommunications,Small (11-50),Master's,On-site,0,95,4,182,"Remote Work, Gym Membership",112543,33763
183,Healthcare Data Analyst,Mid,Company_Analytics99,Salt Lake City,"Machine Learning, Storytelling, Azure",ML/AI,Machine Learning,3,71275,96430,83852.5,7,Mid,Energy,Enterprise (1000+),Associate,Flexible,1,89,15,85,"Tuition Reimbursement, Unlimited PTO, Health Insurance, Learning Stipend",83853,25155
184,Financial Analyst,Senior,Company_Analytics85,Seattle,"Java, Linear Algebra, Scikit-learn",Programming,Java,3,95033,128574,111803.5,7,Senior,Manufacturing,Medium (51-200),Master's,Flexible,1,100,13,199,"Unlimited PTO, Health Insurance, 401k, Stock Options",111804,33541
185,Analytics Manager,Principal,Company_Cloud40,Detroit,"Probability, Tableau, RAG",Data Analysis,Probability,3,107406,145314,126360.0,10,Principal,Media,Large (201-1000),Master's,Remote,1,100,15,197,"401k, Free Lunch, Stock Options, Parental Leave",126360,37908
186,Financial Analyst,Senior,Company_Digital29,Dallas,"JavaScript, Looker, Beam, Java, Kubernetes, LLM",Programming,JavaScript,6,84675,114561,99618.0,5,Senior,Finance,Enterprise (1000+),Master's,On-site,0,95,17,192,"Free Lunch, Remote Work, Health Insurance, Tuition Reimbursement",99618,29886
187,Business Intelligence Analyst,Senior,Company_Data22,Miami,"Linear Algebra, Tableau, Project Management",Data Analysis,Linear Algebra,3,61149,82731,71940.0,3,Senior,Media,Medium (51-200),Bachelor's,Hybrid,1,81,2,38,"Gym Membership, Stock Options",71940,21582
188,Data Analyst,Mid,Company_Cloud83,Portland,"Probability, Terraform, Python, TensorFlow, LLM",Data Analysis,Probability,5,59976,81144,70560.0,4,Mid,Retail,Large (201-1000),Associate,On-site,0,94,11,159,"Stock Options, 401k",70560,21168
189,Business Intelligence Analyst,Mid,Company_AI27,Chicago,"Azure, PostgreSQL, C++, Looker, MySQL",Cloud,Azure,5,67740,91649,79694.5,5,Mid,Government,Large (201-1000),Bachelor's,On-site,0,84,4,140,"Stock Options, Tuition Reimbursement",79695,23909
190,Financial Analyst,Senior,Company_Digital71,Nashville,"Jenkins, Statistics, AWS, Terraform",Cloud,Jenkins,4,87415,118267,102841.0,2,Senior,Government,Large (201-1000),Associate,Flexible,1,100,29,190,"Tuition Reimbursement, Remote Work, Learning Stipend",102841,30852
191,Business Intelligence Analyst,Mid,Company_Cloud95,Portland,"LLM, AWS, Tableau",ML/AI,LLM,3,69507,94040,81773.5,6,Mid,Energy,Enterprise (1000+),Bachelor's,Hybrid,1,92,8,15,"Stock Options, Learning Stipend, Parental Leave",81774,24533
192,Analytics Manager,Manager,Company_Cloud14,Austin,"Metabase, PyTorch, Linear Algebra, Jenkins, Elasticsearch, Keras",BI Tools,Metabase,6,100284,135678,117981.0,12,Manager,Education,Enterprise (1000+),PhD,On-site,0,98,30,151,"Stock Options, Tuition Reimbursement, Free Lunch, Learning Stipend",117981,35394
193,Sports Analyst,Mid,Company_AI55,Philadelphia,"GCP, PostgreSQL, RAG, Keras",Cloud,GCP,4,64206,86867,75536.5,3,Mid,Finance,Large (201-1000),Master's,Remote,1,76,30,64,"Unlimited PTO, 401k",75537,22661
194,Sports Analyst,Mid,Company_AI54,Chicago,"C++, Hadoop, Tableau",Programming,C++,3,66198,89562,77880.0,6,Mid,Government,Medium (51-200),Associate,Remote,1,91,26,199,"401k, Free Lunch",77880,23364
195,Financial Analyst,Senior,Company_Cloud22,Dallas,"Machine Learning, Docker, Storytelling, Deep Learning",ML/AI,Machine Learning,4,74669,101022,87845.5,7,Senior,Energy,Medium (51-200),Bachelor's,On-site,0,98,5,37,"Gym Membership, Learning Stipend",87846,26353
196,Data Scientist,Senior,Company_Tech100,Phoenix,"PyTorch, SQL, Looker",ML/AI,PyTorch,3,83966,113601,98783.5,4,Senior,Telecommunications,Startup,Bachelor's,Flexible,1,66,28,180,"Unlimited PTO, 401k",98784,29635
